a	一；一个；每一；任一
defensive	防御的；防卫的；防守的；自卫的；防御姿态；守势
deficit	赤字；亏损；逆差；不足；缺陷
define	给…下定义；解释；确定；规定；明确
definitely	明确地；肯定地；确切地；当然；一定
definition	定义；释义；清晰；明确；清晰度
degree	程度；等级；度；度数；学位；学衔；层级
delay	推迟；延期；延迟；耽搁；延误；耽搁的时间；延迟
deliver	递送；投递；发表；宣布；接生；履行；实现
delivery	递送；投递；交付；分娩；交货；投递方式
demand	要求；需求；需要；坚决要求；强令；查问；查账
democracy	民主；民主政治；民主制度；民主精神；民主作风
Democrat	民主党人；民主主义者；民主党员
democratic	民主的；民主主义的；民主政治的；民主作风的
demonstrate	证明；论证；说明；演示；展示；示威游行
demonstration	证明；论证；演示；展示；示范；示威游行；游行
deny	否认；否定；拒绝给予；拒绝接受；戒绝
department	部门；系；科；处；局；学部
depend	依赖；依靠；取决于；视…而定；信赖；信任
dependent	依靠的；依赖的；从属的；受抚养者；受赡养者
depending	取决于；视…而定；依赖；依靠；（depend的现在分词）
depict	描绘；描述；描写；刻画；画；绘制
depression	抑郁；沮丧；消沉；萧条；不景气；洼地；凹陷处
depth	深；深度；深奥；深刻；渊博；强烈；极度
deputy	副职；副手；代理；代表；副的；代理的
derive	取得；获得；源自；来自；得到；推论出
describe	描写；描述；形容；叙述；描绘；说明
description	描述；描写；形容；叙述；描绘；说明；说明书
desert	沙漠；荒漠；荒野；离弃；抛弃；擅离；开小差；应得的
deserve	应受；应得；值得；应得的报酬；应得的惩罚
design	设计；构思；绘制；图样；图案；设计；方案；意图
designer	设计师；设计者；时装设计师；由设计师设计的
desire	愿望；欲望；渴望；渴求；想要；希望；请求；要求
desk	书桌；办公桌；写字台；问讯处；服务台；办公桌
desperate	绝望的；危急的；拼命的；不顾一切的；铤而走险的
despite	尽管；不管；任凭；即使；尽管
destroy	破坏；毁坏；摧毁；消灭；杀死；打破（希望等）
destruction	破坏；毁灭；摧毁；消灭；毁灭的原因；破坏手段
detail	细节；详情；细部；枝节；详情；详细说明；详述；派遣
detailed	详细的；详尽的；细致的；细致入微的
detect	发现；发觉；察觉；侦查；探测；检测
determine	确定；测定；查明；解决；裁决；决定；影响
develop	发展；开发；研制；成长；发育；产生；出现；患（病）
developing	发展中的；开发中的；发展；开发；（develop的现在分词）
development	发展；开发；研制；成长；发育；事态发展；新情况
device	装置；设备；器械；方法；手段；策略；技巧
devote	献身；致力；专心于；奉献；投入；用于
dialogue	对话；对白；（国家、组织等之间的）对话
die	死亡；死；凋谢；枯萎；熄灭；消失；渴望；切望；骰子
diet	饮食；食物；规定饮食；节食；进规定饮食；按规定饮食
differ	不同；相异；有差异；意见不同；有分歧
difference	差异；不同；差；差额；争执；分歧；变化
different	不同的；相异的；有差异的；各种的；个别的；独特的
differently	不同地；相异地；有差异地；以不同的方式
difficult	困难的；艰难的；不易相处的；难以取悦的；难懂的
difficulty	困难；艰难；难事；难点；难题；麻烦；困境
dig	挖；掘；挖洞；翻土；挖掘；发掘；挖苦；喜欢；领悟
digital	数字的；数字显示的；手指的；手指状的；数字式的
dimension	尺寸；规模；范围；程度；维度；维；方面；侧面
dining	进餐；用餐；吃饭；餐厅；饭厅；就餐用的
dinner	正餐；主餐；晚餐；宴会；晚宴
direct	直接的；直系的；径直的；率直的；直接地；径直地；指引；导演
direction	方向；方位；趋向；趋势；指导；指示；用法说明
directly	直接地；径直地；立即；马上；直率地；坦率地；正好地
director	主管；主任；导演；理事；董事；局长；处长；所长
dirt	泥土；尘土；污物；污垢；肮脏；下流话；丑闻
dirty	脏的；肮脏的；下流的；黄色的；卑鄙的；邪恶的；弄脏；变脏
disability	残疾；缺陷；无能；无力；无资格；不利条件
disagree	不同意；意见不一致；不一致；不符；争论；争执
disappear	消失；不见；失踪；绝迹；灭绝；消散；消亡
disaster	灾难；灾祸；不幸；祸患；彻底的失败；惨败
discipline	纪律；风纪；训练；训导；学科；科目；惩罚；处罚；训练
discourse	话语；语篇；论述；论文；演讲；谈话；讲述；论述
discover	发现；发觉；找到；找到；发现；察觉；看出
discovery	发现；发觉；被发现的事物；发明物；发现物
discrimination	歧视；辨别力；识别力；辨别；区别；不公平待遇
discuss	讨论；谈论；商议；论述；详述
discussion	讨论；议论；商议；论述；详述；辩论；讨论
disease	病；疾病；弊病；弊端；社会病；精神痛苦
dish	碟；盘；一道菜；盘状物；使成碟形；碟状；洗盘子；用餐
dismiss	解雇；开除；解散；遣散；消除；不再考虑；驳回；拒绝
disorder	混乱；凌乱；骚乱；动乱；失调；不适；疾病；紊乱
display	陈列；展览；展示；显示；表现；炫耀；展览；陈列；显示
dispute	争论；辩论；争执；争端；争议；争吵；对…质疑；抗辩
distance	距离；间距；疏远；隔阂；远处；远方；冷淡；疏远；使疏远
distant	遥远的；远处的；久远的；疏远的；冷淡的；远房的
distinct	不同的；有区别的；清晰的；明显的；确定的；确切的
distinction	差别；不同；区别；区分；优秀；卓越；荣誉；殊荣；奖章
distinguish	辨别；区分；辨认出；看清；使杰出；使著名；使有别于
distribute	分发；分配；分布；散布；分销；发运
distribution	分发；分配；分布；散布；分销；销售；分布状态；分配系统
district	区；行政区；区域；地区；地段；把…划分成区
diverse	不同的；多种多样的；形形色色的；多样化的
diversity	多样性；多样化；差异；不同点；变化；多样性
divide	分开；划分；分隔；分裂；使分裂；除；除以；分配；分享
division	分开；划分；分配；分隔；除法；部门；区域；分歧；分裂
divorce	离婚；离异；分离；脱离；使离婚；使分离；与…离婚
DNA	脱氧核糖核酸；基因；遗传物质；基因密码
do	做；干；完成；进行；行动；表现；足够；适合；行；好；欺骗；骗取
doctor	医生；大夫；博士；医师；篡改；伪造；阉割；治病；行医
document	文件；公文；文献；证件；用文件证明；用文献记载；纪实性的
dog	狗；犬；家伙；人；雄狗；雄兽；狗；犬；跟随；追踪；纠缠
domestic	国内的；本国的；家庭的；家用的；驯养的；家的；国货；佣人
dominant	占优势的；主要的；支配的；统治的；显性的；优势种
dominate	支配；统治；控制；在…中占首要地位；高耸于；俯视
door	门；出入口；门口；通道；一户；一家；途径；门路
double	双的；双重的；两倍的；加倍的；双人的；成双的；加倍；是…的两倍
doubt	怀疑；疑惑；疑问；不信任；质疑；认为…未必可能
down	向下；在下面；在低处；在南方；向南方；沿着；沿着…往下；绒毛；软毛
downtown	市中心；闹市区；在市中心；往市中心；商业区的；闹市区的
dozen	打；十二个；十来个；许多；很多；大量
draft	草稿；草案；草图；汇票；征兵；起草；草拟；征募；选派；选秀
drag	拖；拉；拽；硬拉；硬扯；拖延；拖沓；拖累；令人厌烦的人或事物
drama	戏剧；剧本；戏剧性事件；戏剧效果；戏剧艺术；戏剧表演
dramatic	戏剧的；戏剧性的；激动人心的；给人深刻印象的；显著的
dramatically	戏剧性地；显著地；引人注目地；剧烈地；激烈地
draw	画；绘制；拉；拖；吸引；引起；拔出；抽出；提取；支取；平局；抽签
drawing	画；绘图；绘画；制图；图画；素描；抽签；抽彩；提款
dream	梦；梦想；幻想；愿望；做梦；梦见；梦想；幻想；向往；想象
dress	连衣裙；衣服；服装；穿衣；打扮；给…穿衣服；装饰；布置；梳理
drink	喝；饮；喝酒；饮料；酒；一口；一饮；喝酒；酗酒
drive	驾驶；开车；驱赶；驱动；推动；驾驶；驱车旅行；车道；驱动器
driver	驾驶员；司机；驱动程序；赶车人；高尔夫球棒
drop	落下；掉下；下降；降低；（使）变弱；放弃；停止；滴；水滴；下跌
drug	药；药物；麻醉药；毒品；使服麻醉药；用药麻醉；下药；吸毒
dry	干的；干燥的；干旱的；干旱少雨的；干巴巴的；枯燥的；使变干；弄干
due	到期的；应付的；应得的；适当的；预定的；预期的；应付款；应缴款
during	在…期间；在…的时候；在…过程中；当…之际
dust	尘土；灰尘；粉尘；拂尘；掸子；打扫；掸去；撒；撒粉；擦去…的灰尘
duty	责任；义务；职责；税；关税；任务；本分；值班；值勤；工作
each	每个；各自；各个；每；各；每人；每个事物
eager	热切的；渴望的；渴求的；急不可待的
ear	耳朵；耳状物；听觉；听力；穗；倾听；注意；（谷）穗
early	早的；早期的；及早的；在前的；早；在初期；在早期；以前
earn	挣得；赚得；赢得；获得；使得到；使获得
earnings	工资；薪水；收入；收益；利润；所得
earth	地球；世界；大地；陆地；土；泥土；接地；地线；把…埋入土中
ease	容易；轻易；舒适；安逸；安心；不拘束；减轻；缓和；放松；使舒适
easily	容易地；轻易地；舒适地；安逸地；很可能；无疑地；随便地
east	东；东方；东部；东边；在东方；向东方；东方的；东部的；东风
eastern	东方的；东部的；向东的；朝东的；东方人的；东方文化的
easy	容易的；不难的；不费力的；舒适的；安逸的；宽裕的；随和的；从容的
eat	吃；吃饭；用餐；侵蚀；腐蚀；消耗；烦扰；困扰；吃；用餐
economic	经济的；经济学的；经济上的；有利可图的；划算的
economics	经济学；经济情况；经济因素；经济意义
economist	经济学家；经济学者；节俭的人；节约的人
economy	经济；经济制度；经济情况；节约；节俭；节省；理财
edge	边；边缘；棱；刀口；刀刃；优势；优越地位；缓缓移动；挤过；使有边
edition	版；版本；版次；一版印刷总数；一份；一册；一期
editor	编辑；编者；校订者；主编；编辑程序；编辑器
educate	教育；培养；训练；教导；使…受教育；培养（能力）
education	教育；培养；训练；教导；教育学；教育界；教育程度；学历
educational	教育的；有关教育的；有教育意义的；教育性的；教育性
educator	教育工作者；教师；教育家；教育学家；教育者
effect	效果；结果；影响；效力；作用；效应；实现；实行；招致；产生
effective	有效的；生效的；实际的；事实上的；给人深刻印象的
effectively	有效地；生效地；实际上；事实上；成功地；有力地
efficiency	效率；效能；功效；实力；能力；高效；高效率
efficient	效率高的；有能力的；能胜任的；高效的；高效能的；节省的
effort	努力；尝试；尽力；费力的事；艰难的尝试；努力的结果；成果
egg	蛋；卵；鸡蛋；卵细胞；怂恿；煽动；鼓励；挑唆
eight	八；八个；第八
either	两者之一；任何一个；也（不）；要么…要么…；不是…就是…
elderly	年纪大的；较老的；上了年纪的；老年人；长者
elect	选举；推选；选择；决定；精选的；卓越的；当选人；被选中者
election	选举；推举；当选；选择权；选择；选举制度
electric	电的；电动的；发电的；导电的；令人激动的；惊人的；带电的
electricity	电；电流；电力；电学；静电；电击；触电
electronic	电子的；电子设备的；电子学的；电子器件；电子设备
element	要素；元素；成分；基础；元件；部件；自然力；恶劣天气；电热丝
elementary	基本的；基础的；初级的；小学的；简单的；容易的
eliminate	消除；排除；淘汰；消灭；干掉；排除；清除；消去
elite	精英；上层人士；掌权人物；实力集团；精华；精锐；出类拔萃的
else	别的；其他的；另外的；否则；要不然；其他；另外；另外；此外
elsewhere	在别处；到别处；别的地方；其他地方；在其他地方；到其他地方
e-mail	电子邮件；电子信函；发电子邮件；用电邮发送；电子邮件地址
embrace	拥抱；抱；接受；欣然采纳；包含；包括；环绕；包围；拥抱；怀抱
emerge	出现；浮现；显露；露头；暴露；形成；产生；为人所知
emergency	紧急情况；不测事件；紧急状态；非常时刻；紧急的；应急的
emission	发射；散发；排放；散发物；排放物；射出；发出
emotion	情感；情绪；感情；激情；激动；感动；情感反应；情绪反应
emotional	感情的；情感的；情绪的；激动的；易动感情的；情感上的
emphasis	强调；重点；重要性；强调语势；重读；着重；突出；强调
emphasize	强调；着重；突出；重读；使显著；使突出
employ	雇用；使用；利用；雇用；受雇；职业；工作；使用；运用
employee	雇员；雇工；职工；员工；受雇者；被雇用者
employer	雇主；雇用者；老板；业主；用人单位；雇佣者
employment	雇用；受雇；就业；工作；职业；使用；运用；就业率；就业状况
empty	空的；未占用的；空洞的；空虚的；无意义的；倒空；使变空；清空
enable	使能够；使可能；使可行；准许；许可；授权；允许；使成为可能
encounter	遭遇；遇到；碰见；邂逅；遭遇；冲突；比赛；相遇；邂逅
encourage	鼓励；激励；怂恿；促进；助长；支持；激发；唤起
end	结束；终止；末尾；尽头；末端；结局；结束；终止；终结；毁灭
enemy	敌人；仇敌；仇人；反对者；敌国；敌军；敌兵；危害物；大敌
energy	精力；活力；干劲；能量；能源；能；力量；能力；热力；能量
enforcement	实施；执行；强制执行；强制；实施；执行；强制；执法
engage	从事；参加；吸引；雇用；聘用；订婚；交战；交锋；与…交战
engine	发动机；引擎；机车；火车头；工具；器械；发动机；引擎
engineer	工程师；技师；机修工；工兵；设计；策划；发明；建造
engineering	工程；工程学；工程师行业；工程设计；工程技术
English	英语；英国人；英格兰的；英国的；英语的；英国人的
enhance	提高；增强；增进；提升；改进；美化；使增值；提高质量
enjoy	享受；喜爱；喜欢；享有；拥有；过得快活；感到愉快；欣赏
enormous	巨大的；庞大的；极大的；大量的；规模宏大的
enough	足够的；充足的；足够；充分；相当；尚；够了；停止
ensure	确保；保证；担保；使确信；保证；确保；使安全；保护
enter	进入；参加；加入；登录；输入；开始；着手；登记；记载
enterprise	企业；事业；进取心；事业心；公司；企业单位；计划；事业
entertainment	娱乐；消遣；娱乐节目；文娱活动；招待；款待；娱乐业
entire	全部的；整个的；完整的；完全的；全部；全体；整个；整体
entirely	完全地；全部地；完整地；彻底地；绝对地；完全
entrance	入口；进口；大门；进入；入学；入场；进入权；使狂喜；使着迷
entry	进入；入场；加入；参赛；条目；词条；入口；记录；登记
environment	环境；周围；周围状况；自然环境；生态环境；周围情况
environmental	环境的；有关环境的；生态的；环保的；自然环境的
episode	插曲；片段；一集；一节；一段经历；一段时期；插曲；片段
equal	相等的；同样的；平等的；能胜任的；相当的；等于；匹敌；相等
equally	相等地；同样地；平等地；同样程度地；平均地；均等；同样地
equipment	设备；装备；器材；配备；装备；设备；配备；装备；设施
era	时代；年代；纪元；时期；阶段；重要时期；新纪元；时代
error	错误；过失；谬误；差错；误差；罪过；失误；错误；谬误
escape	逃跑；逃脱；逃避；摆脱；逸出；漏出；逃避现实；躲避；逃跑；逃脱
especially	尤其；特别；格外；特别地；特地；专门；主要地；主要是；尤其是
essay	散文；随笔；文章；作文；尝试；企图；试图；努力；试做
essential	本质的；基本的；必要的；至关重要的；精华；要素；必需品；本质；实质
essentially	本质上；实质上；基本上；主要地；大体上；根本上；本质上
establish	建立；设立；创建；确立；确定；证实；制定；规定；安置；安顿
establishment	建立；确立；创建；制定；机构；团体；企业；公司；家庭；住宅
estate	财产；遗产；地产；庄园；状态；阶段；社会阶层；等级；大片土地；种植园
estimate	估计；估价；估算；判断；评价；看法；估计；估价；估算；判断
etc	等等；以及其他；诸如此类；等等；以及其他等等；等等；以及其他
ethics	伦理学；道德准则；行为准则；道德观；伦理观；道德规范；伦理标准
ethnic	种族的；民族的；具有民族特色的；民族的；种族的；少数民族的
European	欧洲的；欧洲人的；欧洲人的；欧盟的；欧洲人；欧盟国家
evaluate	评价；评估；估计；估价；评价；评估；估计；鉴定；评定；评价
evaluation	评价；评估；估计；估价；评价；评估；鉴定；评定；估值；评估报告
even	甚至；即使；还；实际上；平坦的；平稳的；相等的；均等的；傍晚；事件
evening	傍晚；晚上；晚会；晚上的；傍晚的；晚间的；傍晚；晚上；晚会
event	事件；大事；活动；项目；比赛项目；结果；结局；情况；社交场合
eventually	终于；最后；最终；结果；到底；终究；最终；终于；最后
ever	曾经；永远；在任何时候；一直；总是；究竟；到底；从来；在任何时候
every	每个；每一；所有的；一切的；每…；每隔…的；每个；所有的；每
everybody	每个人；人人；所有人；每个人；人人；所有人；每个人；人人
everyday	每天的；日常的；平常的；普通的；日常；日常事务；每天；日常
everyone	每个人；人人；所有人；每人；每个人；人人；所有人；每人；每个人
everything	每件事；一切；所有事物；最重要的东西；形势；情况；一切；所有事物
everywhere	到处；处处；在各个地方；在所有地方；各处；无论何处；到处；处处
evidence	证据；证词；证人；迹象；证明；表明；显示；作为证据；为…作证
evolution	进化；进化论；演变；发展；渐进；演化；进化论；进化；发展
evolve	发展；进化；演变；逐渐形成；逐步发展；进化；演变；发展；逐步形成
exact	精确的；准确的；确切的；严格的；精密的；精确；准确；要求；强求
exactly	精确地；准确地；确切地；正好；恰恰；完全；全然；一点不错；正是如此
examination	检查；审查；调查；考试；考查；审问；询问；检查；审查；调查
examine	检查；审查；调查；考查；测验；审问；询问；仔细观察；研究；检查；审查
example	例子；实例；范例；榜样；模范；例证；作为…的例子；举例说明
exceed	超过；胜过；越出；超出…之外；超越；胜过；超过；超出；领先
excellent	优秀的；卓越的；杰出的；极好的；精良的；优秀的；杰出的；极好的
except	除…之外；除了；只是；不过；但是；反对；反对；异议；要不是；除非
exception	例外；除外；反对；异议；例外的事物；不包括在内的东西；例外；除外
exchange	交换；交流；交易；兑换；汇兑；交换；交流；交易；兑换；互换
exciting	令人激动的；使人兴奋的；令人兴奋的；激动人心的；刺激的；精彩的
executive	执行的；行政的；管理的；执行经理；行政官；主管；执行者；执行委员会
exercise	锻炼；运动；练习；运用；行使；操练；演习；功课；作业；活动
exhibit	展览；陈列；展示；显示；表现；展出；展览品；陈列品；显示；表现
exhibition	展览；展览会；陈列；显示；表现；展览品；展览会；展示；表现；展览
exist	存在；生存；生活；继续存在；有；活着；生存；生活；存在；有
existence	存在；实在；生存；生活；存在方式；实体；生物；存在；实在；生存
existing	现存的；现行的；目前的；现有的；现有的；现存的；现行的；当前的
expand	扩大；扩张；扩展；膨胀；展开；张开；详述；详细说明；增加；扩展
expansion	扩大；扩张；扩展；膨胀；发展；扩展；扩大；扩展；扩张；膨胀；扩大
expect	期望；期待；指望；预期；预料；要求；认为；预计；期望；期待；预料
expectation	期望；期待；指望；预期；预料；前程；前程；前景；期望；期待；预期
expense	花费；代价；费用；开支；消耗；损失；费用；开支；花费；代价
expensive	昂贵的；高价的；奢侈的；奢华的；价格高的；花费大的；昂贵的；高价的
experience	经历；经验；体验；感受；遭受；经历；感受；体验；经验；经历；体验
experiment	实验；试验；尝试；实验；试验；尝试；做实验；进行试验；尝试；做实验
expert	专家；能手；熟练的；老练的；有经验的；专家；能手；行家；专家；内行
explain	解释；说明；辩解；说明原因；解释；说明；讲解；解释清楚；说明；解释
explanation	解释；说明；辩解；理由；解释说明；说明；解释；理由；辩解；说明
explode	爆炸；爆发；突然发作；激增；剧增；爆发；爆炸；突发；激增
explore	探索；探究；勘探；探险；研究；考察；调查；探索；探究；探讨；探险
explosion	爆炸；爆发；激增；剧增；爆发；爆炸；突发；激增；爆炸；爆发
expose	暴露；显露；揭露；揭发；使曝光；使暴露；揭露；揭发；暴露；显露
exposure	暴露；显露；揭露；揭发；曝光；揭露；揭发；暴露；暴露于；接触；风险
express	表达；表示；表露；体现；特快的；快递的；快车；专递；快递；快速；明确的
expression	表达；表示；表情；脸色；措辞；说法；表达方式；表现；体现；表情
extend	延伸；延长；扩大；扩展；提供；给予；舒展；伸开；延续；延期
extension	延伸；延长；扩大部分；扩建部分；延期；展期；电话分机；分机；扩大；扩展
extensive	广阔的；广泛的；大量的；大规模的；广阔的；广泛的；广博的；详尽的
extent	程度；范围；大小；规模；程度；范围；大小；规模；范围；程度；长度
external	外部的；外面的；外来的；外用的；表面的；外国的；外界的；外部；外观
extra	额外的；外加的；额外的事物；额外费用；号外；附加的；额外；特别；非常
extraordinary	非常的；特别的；非凡的；卓越的；奇特的；不平常的；异常的；惊人的
extreme	极端的；极度的；尽头的；末端的；极端；极限；极度；最大程度；尽头；末端
extremely	极其；非常；极端地；极度地；极；非常；极端；极度；极其；非常
eye	眼睛；眼；视力；眼力；眼光；目光；观察力；注意；注视；看；审视
fabric	织物；布料；织品；结构；构造；组织；建筑结构；布料；织物；构造
face	脸；面孔；面部；表面；面对；面临；正视；承认；朝向；面对；面向
facility	设施；设备；工具；便利；容易；灵巧；熟练；便利条件；设施；设备；工具
fact	事实；真相；实情；现实；情况；真实；事实；真相；实情；事实；现实
factor	因素；要素；因子；代理人；代理商；因素；要素；因子；把…因素分解进去
factory	工厂；制造厂；代理店；代理行；工厂；制造厂；工厂；制造工厂
faculty	能力；技能；才能；学院；系；全体教师；全体教员；官能；天赋；能力；才能
fade	褪色；变暗淡；凋谢；枯萎；逐渐消失；渐弱；使褪色；使逐渐消失；淡出；淡入
fail	失败；不及格；衰退；减弱；失灵；失效；未能；忘记；破产；倒闭；失败
failure	失败；不及格；失灵；故障；衰退；衰竭；失败者；失败的事；失败；故障
fair	公平的；公正的；合理的；白皙的；晴朗的；集市；展览会；公平地；直接地；清楚地
fairly	相当；还算；公平地；公正地；相当地；适度地；相当；还算；公平地；公正地
faith	信任；信心；信念；信仰；信条；忠诚；忠实；诚实；诺言；保证；信仰；信念
fall	落下；跌倒；下降；降落；减弱；垮台；下垂；秋天；瀑布；落下；跌倒
false	错误的；假的；虚伪的；不忠实的；人造的；伪造的；假的；错误的；不真实的
familiar	熟悉的；通晓的；常见的；普通的；冒昧的；放肆的；熟友；密友；熟悉；熟识
family	家庭；家族；家；家属；亲属；子女；动植物的科；家庭；家族；家人
famous	著名的；出名的；极好的；非常令人满意的；著名的；出名的；有名的；闻名的
fan	风扇；扇子；粉丝；爱好者；迷；扇动；煽动；激起；用扇子扇；扇；狂热爱好者
fantasy	幻想；空想；怪念头；幻想曲；幻觉；白日梦；幻想；空想；想象；幻想作品
far	远；遥远地；久远地；非常；很；远的；遥远的；久远的；程度深的；远；遥远
farm	农场；农庄；养殖场；饲养场；农舍；务农；耕作；养殖；经营农场；种地
farmer	农场主；农夫；农民；农场工人；农夫；农民；农场主；农民；农场主；农夫
fashion	时尚；时装；方式；风格；款式；风尚；流行；赶时髦；塑造；改变；形成
fast	快的；迅速的；紧的；牢固的；快；迅速地；紧紧地；牢固地；斋戒；禁食；绝食
fat	脂肪；肥肉；肥胖的；脂肪多的；厚的；大量的；养肥；在…中加入脂肪；长肥
fate	命运；天数；注定；命定；命运；天命；定数；命运；天数；命中注定
father	父亲；爸爸；创始人；奠基人；神父；上帝；天父；做父亲；是…的父亲；创立；创办
fault	过错；过失；缺点；毛病；断层；故障；失误；错误；缺点；过失；找岔子；挑剔
favor	喜爱；宠爱；赞成；支持；偏爱；偏袒；恩惠；善意的行为；帮助；赞同；支持；优惠
favorite	特别喜爱的；中意的；心爱的；最喜爱的人或物；宠儿；特别喜爱的；最喜爱的
fear	害怕；恐惧；担心；敬畏；忧虑；害怕；畏惧；担心；恐怕；敬畏；担心；恐怕
feature	特征；特色；特点；容貌；相貌；特写；专题节目；是…的特色；以…为特色；起重要作用
federal	联邦的；联邦制的；联邦政府的；联邦的；联邦制的；联邦政府的；联邦政府
fee	费；费用；酬金；报酬；学费；报名费；会费；费用；费；酬金；小费
feed	喂；饲养；吃；以…为食；进食；供给；供应；进料；饲料；喂养；饲养；供给
feel	感觉；觉得；感受到；摸；触；试探；摸索；认为；以为；感觉；觉得；触摸
feeling	感觉；感情；情绪；心情；看法；感想；感觉；感受；感情；情感；看法
fellow	男子；小伙子；家伙；同伴；同事；伙伴；研究员；会员；同类的；同事的；同伴的
female	女性的；雌性的；女人；雌性动物；女子；妇女；女性的；雌性的；妇女的
fence	栅栏；围栏；篱笆；击剑；防护；用栅栏围起；防护；击剑；搪塞；躲避；辩论
few	很少的；不多的；少数；少数人；几个；有些；少数；不多；很少的；不多的
fewer	较少的；更少的；较少；更少；更少的；较少的；更少的；较少的；更少
fiber	纤维；纤维质；纤维组织；构造；结构；纤维；纤维质；纤维素；纤维制品
fiction	小说；虚构；杜撰；编造；谎言；虚构的事；小说；虚构；杜撰；编造的事
field	田地；田野；场地；运动场；领域；范围；场；田野；领域；方面；场地；野外
fifteen	十五；十五个；第十五
fifth	第五；五分之一；第五个；第五的；五分之一的；第五；第五个；五分之一
fifty	五十；五十个；第五十
fight	打架；战斗；斗争；打架；战斗；竞争；对抗；争取；搏斗；打仗；作战
fighter	战士；战斗者；拳击手；战斗机；歼击机；斗士；奋斗者；战士；战斗者；战斗机
fighting	战斗；斗争；打架；作战；战斗的；斗争的；好战的；好斗的；战斗；打仗
figure	数字；图形；人物；身材；体形；塑像；画像；认为；推测；计算；描绘；出现
file	文件；档案；卷宗；锉刀；锉子；文件；档案；把…归档；提出；提交；锉；锉平
fill	填写；填充；填补；装满；填满；充满；使充满；充任；担任；填补；填补空白
film	电影；影片；薄膜；薄层；胶片；胶卷；拍摄电影；给…覆上薄膜；拍电影；摄制
final	最后的；最终的；决定性的；结局；决赛；期末考试；期末；最后的；最终的
finally	最后；终于；最终；不可更改地；决定性地；最后；终于；最终；到底；终究
finance	财政；金融；资金；财务；提供资金；资助；筹措资金；理财；财政；金融
financial	财政的；金融的；财务的；资金的；金融；财政；财务；金融的；财政的
find	找到；发现；发觉；找出；查明；得到；获得；裁决；判决；发现；找到；感到
finding	发现；发觉；调查结果；研究结果；裁决；判决；发现；发现物；调查结果；研究结果
fine	好的；优秀的；晴朗的；美好的；美好的；健康的；纤细的；精致的；罚款；罚金；处以罚款
finger	手指；指状物；指针；用手指触摸；拨弄；指出；手指；指；指针
finish	结束；完成；完毕；终点；最后阶段；结束；完成；吃完；喝完；用尽；耗尽；完美；完善
fire	火；火灾；炉火；炮火；射击；热情；激情；开除；解雇；生火；射击；开火；激起
firm	坚固的；坚硬的；结实的；坚定的；坚决的；稳固的；稳固地；坚定地；商号；商行；公司
first	第一；首先；最初；最先；第一流的；最重要的；第一的；首先；最初；第一；第一个人
fish	鱼；鱼肉；捕鱼；钓鱼；摸索；搜寻；鱼；鱼肉；捕鱼；钓鱼；寻找；打听
fishing	钓鱼；捕鱼；渔业；钓鱼的；捕鱼的；渔业的；钓鱼；捕鱼；钓鱼术
fit	适合；合身；合适；适宜；健康的；健壮的；胜任的；适合的；合适的；安装；装配
fitness	健康；健壮；适合；适宜；恰当；胜任；健康状况；健身；锻炼；适合性；恰当性
five	五；五个；第五
fix	修理；修补；固定；安装；确定；决定；安排；作弊；操纵；困境；窘境；难题
flag	旗；旗帜；国旗；旗舰旗；用旗打信号；衰弱；减退；标示；疲乏；疲倦；无力
flame	火焰；火舌；热情；激情；强烈的感情；燃烧；变得红热；激动；勃然大怒；火焰；火光
flat	平的；平坦的；扁平的；平淡的；单调的；公寓；套房；平坦地；完全地；彻底地
flavor	风味；滋味；特点；特色；给…调味；给…增添风趣；味道；风味；滋味；香料
flee	逃离；逃跑；逃走；逃避；消失；消散；避开；逃跑；逃走；逃离；逃避
flesh	肉；果肉；肉体；肉体；情欲；肉欲；使肥；喂肥；长肉；发胖；肉体；肉身
flight	飞行；航班；航程；逃走；逃避；楼梯的一段；飞行；飞翔；航班；飞行；逃跑
float	漂浮；浮动；飘动；漂流；使漂浮；发行；浮动；浮标；漂浮物；鱼漂；彩车
floor	地板；地面；楼层；层；底价；最低额；发言席；发言；发言机会；铺地板；打倒在地
flow	流动；流出；循环；川流不息；飘垂；飘扬；流动；流量；流畅；连贯；大量生产
flower	花；花卉；精华；精英；开花；繁荣；昌盛；用花装饰；给…饰花；开花；盛开；繁荣
fly	飞；飞行；乘飞机；驾驶飞机；飞跑；飞奔；苍蝇；裤门襟；飞；飞行；飞跑
focus	焦点；焦距；聚焦；集中；关注；焦点；中心点；聚焦；集中；聚焦；对准；调焦
folk	人们；人民；家属；亲属；民间的；普通百姓的；民间音乐；人们；人民；亲属
follow	跟随；追随；跟着；听从；遵循；理解；领会；注视；密切注意；听从；遵从；遵循
following	接着的；下述的；下列的；追随者；拥护者；支持者；在…以后；跟随；追随；跟着
food	食物；食品；养料；滋养品；食物；食品；吃的东西；饮食；粮食；食物；食品
foot	脚；足；英尺；底部；底部；底座；步行；走；踏；踩；付账；支付；结算
football	足球；橄榄球；足球运动；橄榄球运动；足球；足球运动；橄榄球；橄榄球运动
for	为了；对于；因为；由于；对于；为；往；向；去；赞成；支持；代表；因为；由于
force	力量；力气；暴力；武力；军队；部队；强迫；迫使；强行；用力推动；用力打开；强制；迫使
foreign	外国的；外国来的；外国产的；外来的；异质的；无关的；外交的；涉外的；外国
forest	森林；林区；森林覆盖；在…造林；植树于；森林；丛林；大量；林立的事物
